id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
1, Adana , Adult,01/02/2008,   Undetectable  ,Because something that a man wanted did not happen,,Husband,,Firearm,,,,2008
2, Adana ,,01/12/2008,   No ,Undetectable,,Boyfriend,,Firearm,,,Suicide ,2008
3, Adana , Underage , 01/02/2008 ,   No ,Undetectable,,Father,,Assault,,,Prisoner ,2008
4, Adana ,, 01/04/2008 ,   No ,Undetectable,,Ex Boyfriend,,Firearm,,,Suicide ,2008
5, Ankara ,, 01/12/2008 ,   Undetectable ,Undetectable,,Undetectable,,Undetectable,,,Undetectable ,2008
6, Ankara , Underage  , 02/03/2008 ,   No ,Honor,,Father,,Firearm,,,Prisoner ,2008
7, Antalya , Adult, 03/02/2008 ,   Undetectable ,Jealousy,,Husband,,Cutting Tool,,,Undetectable,2008
8, Balikesir , Underage , 03/11/2008 ,   No ,Be rejected,,Mother's Ex Boyfriend,,Firearm,,,Prisoner ,2008
9, Batman ,, 04/02/2008 ,   No ,Undetectable,,Boyfriend,,Firearm,,,Suicide ,2008
10, Batman ,, 04/02/2008 ,   No ,Messaging With Friends,,Brother,,Assault,Giving Electricity,,Prisoner ,2008
11, Bingol , Adult , 04/03/2008 ,   No ,Controversy,,Husband,,Firearm,,,Prisoner ,2008
12, Bursa ,, 04/09/2008 ,   No ,Breaking Up Suggestion,,Husband,,Cutting Tool,,,Prisoner ,2008
13, Bursa , Adult , 05/02/2008 ,   No ,Undetectable,,Groom,,Asphyxiate,Assault,,Prisoner ,2008
14, Bursa ,, 05/02/2008 ,   No ,Controversy,,Husband,,Cutting Tool,,,Suicide ,2008
15, Diyarbakir , Adult , 05/11/2008 ,   No ,Controversy,,Someone She Knows,,Firearm,,,Prisoner ,2008
16, Diyarbakir , Adult , 06/01/2008 ,   No ,Undetectable,,Undetectable,,Firearm,,,Investigation Continues ,2008
17, Eskisehir , Adult , 07/01/2008 ,   No ,Animosity,,Someone She Knows,,Firearm,,,Prisoner ,2008
18, Gaziantep ,, 07/03/2008 ,   No ,Undetectable,,Cousen,,Firearm,,,Wanted ,2008
19, Gaziantep , Adult, 07/05/2008 ,   No ,Undetectable,,Husband,,Firearm,,,Undetectable,2008
20, Igdir , Adult , 08/02/2008 ,   No ,Controversy,,Boyfriend,,Firearm,,,Suicide ,2008
21, Igdir , Adult , 08/02/2008 ,   No ,Honor,,Brother,,Firearm,,,Prisoner ,2008
22, Igdir ,, 08/03/2008 ,   No ,Undetectable,,Husband,,Cutting Tool,,,Prisoner ,2008
23, Istanbul , Adult , 08/07/2008 ,   No ,Undetectable,,Someone She Knows,,Firearm,,,Prisoner ,2008
24, Istanbul , Adult , 08/12/2008 ,   No ,Be rejected,,Boyfriend,,Firearm,,,Prisoner ,2008
25, Istanbul , Adult , 09/01/2008 ,   No ,Breaking Up Suggestion,,Ex Fiancee,,Cutting Tool,,,Wanted ,2008
26, Istanbul , Undetectable, 09/11/2008 ,   Undetectable,Animosity,,Someone She Knows,,Firearm,,,Prisoner ,2008
27, Istanbul ,, 10/01/2008 ,   Undetectable ,Divorce,,Groom,,Firearm,,,,2008
28, Istanbul , Adult , 10/07/2008 ,   No ,Controversy,,Husband,,Firearm,,,Suicide ,2008
29, Kirsehir , Adult , 13/05/2008 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues ,2008
30, Mersin , Adult , 15/04/2008 ,   No ,By Accident,,Relative,,Firearm,,,Prisoner ,2008
31, Samsun , Adult , 16/11/2008 ,   No ,Controversy,,Someone She Knows,,Firearm,,,Prisoner ,2008
32, Sinop ,, 17/05/2008 ,   No ,Undetectable,,Husband,,Firearm,,,Prisoner ,2008
33,,, 18/07/2008 ,   No ,Controversy,,Husband,,Asphyxiate,,,,2008
34,,, 19/02/2008 ,   No ,Undetectable,,Brother,,Assault,,,,2008
35,,, 19/05/2008 ,   No ,Controversy,,Husband,,Firearm,,,,2008
36,,, 19/07/2008 ,   Undetectable ,Because something that a man wanted did not happen,,Husband,,Cutting Tool,,,,2008
37,,, 19/11/2008 ,   No ,Undetectable,,Husband,,Undetectable,,,,2008
38,,, 19/12/2008 ,   No ,Controversy,,Husband,,Firearm,,,,2008
39,,, 19/12/2008 ,   No ,Jealousy,,Boyfriend's Son,,Firearm,,,,2008
40,,, 20/11/2008 ,   No ,Undetectable,,Husband,,Firearm,,,,2008
41,,, 21/12/2008 ,   No  ,Hate,,Someone She Knows,,Torture,,,,2008
42,,, 22/12/2008 ,   No ,Undetectable,,Ex Husband,,Firearm,,,,2008
43,,, 23/06/2008 ,   No ,Jealousy,,Husband,,Firearm,,,,2008
44,,, 23/09/2008 ,   No ,Be rejected,,Boyfriend,,Cutting Tool,,,,2008
45,,, 23/12/2008 ,   No ,Undetectable,,Ex Boyfriend,,Asphyxiate,,,,2008
46,,, 24/02/2008 ,   No ,Peace Suggestion,,Ex Husband,,Cutting Tool,,,,2008
47,,, 24/06/2008 ,   No ,Controversy,,Someone She Knows,,Cutting Tool,,,,2008
48,,, 24/07/2008 ,   No ,Breaking Up,,Ex Boyfriend,,Asphyxiate,,,,2008
49,,, 25/07/2008 ,   No ,Controversy,,Husband,,Cutting Tool,,,,2008
50,,, 25/09/2008 ,   No ,Undetectable,,Ex Husband,,Cutting Tool,,,,2008
51,,, 26/03/2008 ,   No ,Undetectable,,Someone She Knows,,Firearm,,,,2008
52,,, 26/04/2008 ,   No ,Divorce Suggestion,,Husband,,Firearm,,,,2008
53,,, 27/01/2008 ,   Yes,Controversy,,Mother's Boyfriend,,Cutting Tool,,,,2008
54,,, 27/03/2008 ,   Undetectable ,Crisis and Unemployment,,Father,,Firearm,,,,2008
55,,, 27/06/2008 ,   Yes ,Controversy,,Husband,,Cutting Tool,,,,2008
56,,, 27/07/2008 ,   No ,Controversy,,Boyfriend,,Cutting Tool,,,,2008
57,,, 27/09/2008 ,   No ,Animosity,,Someone She Knows,,Firearm,,,,2008
58,,, 27/09/2008 ,   No ,To be abandonment,,Husband,,Firearm,,,,2008
59,,, 28/03/2008 ,   No ,Cheating Suspicion,,Husband,,Cutting Tool,,,,2008
60,,, 28/12/2008 ,   No , For seeing you undress in his dream,,Father,,Asphyxiate,,,Prisoner,2008
61,,, 29/03/2008 ,   No ,Divorce Suggestion,,Husband,,Firearm,,,,2008
62,,, 29/05/2008 ,   No ,While Protecting Her Daughter,,Husband,,Firearm,,,,2008
63,,, 31/01/2008 ,   No ,Undetectable,,Boyfriend,,Assault,,,,2008
64,,, 31/05/2008 ,   Undetectable,Jealousy,,Boyfriend,,Firearm,,,,2008
65,,, 31/12/2008 ,   No ,Undetectable,,Undetectable,,Firearm,,,,2008
66, Adana , Adult , 01/01/2009 ,   No ,Undetectable,,Undetectable,,Falling From High,,,Undetectable ,2009
67, Adana ,, 01/03/2009 ,   No ,Controversy,,Husband,,Assault,,,Prisoner ,2009
68, Adiyaman , Adult , 01/05/2009 ,   No ,Undetectable,,Boyfriend,,Firearm,,,Prisoner ,2009
69, Afyonkarahisar , Adult , 01/06/2009 ,   No ,Undetectable,,Someone She Knows,,Burning,,,Prisoner ,2009
70, Afyonkarahisar , Adult , 01/08/2009 ,   No ,Undetectable,,Brother,,Firearm,,,Prisoner ,2009
71, Agri , Adult , 01/08/2009 ,   No ,While Protecting Her Mother,,Father,,Firearm,,,Prisoner ,2009
72, Agri ,, 01/08/2009 ,   Undetectable ,Undetectable,,Undetectable,,Undetectable,,,Undetectable ,2009
73, Agri , Adult , 01/08/2009 ,   No ,Undetectable,,Husband,,Firearm,,,Prisoner ,2009
74, Antalya , Adult , 01/10/2009 ,   No ,Controversy,,Someone She Knows,,Firearm,,,Prisoner ,2009
75, Ankara , Adult , 02/04/2009 ,   No ,Controversy,,Husband,,Firearm,,,Suicide ,2009
76, Ankara , Adult , 02/06/2009 ,   No ,Controversy,,Husband,,Firearm,,,Suicide ,2009
77, Ankara ,, 02/06/2009 ,   No ,Controversy,,Ex Boyfriend,,Firearm,,,Suicide ,2009
78, Ankara , Adult , 02/08/2009 ,   No ,Undetectable,,Someone She Knows,,Firearm,,,Prisoner ,2009
79, Antalya , Adult , 02/10/2009 ,   No ,Controversy,Trying to protect her sister,Brother-in-law,,Cutting Tool,,,Prisoner ,2009
80, Antalya , Adult , 02/10/2009 ,   No ,Undetectable,,Friend,,Assault,,,Suicide ,2009
81, Antalya ,, 02/12/2009 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Undetectable ,2009
82, Antalya , Undetectable , 02/12/2009 ,   Undetectable ,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues ,2009
83, Antalya , Adult , 03/01/2009 ,   No ,Undetectable,,Someone She Knows,,Asphyxiate,,,Prisoner ,2009
84, Antalya , Adult , 03/02/2009 ,   No ,Controversy,,Husband's Brother,,Asphyxiate,,,Prisoner ,2009
85, Antalya ,, 03/03/2009 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Undetectable,2009
86, Antalya ,, 03/04/2009 ,   No ,Controversy,,Husband,,Cutting Tool,,,Wanted ,2009
87, Balikesir , Adult , 03/11/2009 ,   No ,Controversy,,Someone She Knows,,Firearm,,,Prisoner ,2009
88, Bartin ,, 04/01/2009 ,   No ,Undetectable,,Undetectable,,Falling From High,,,Undetectable,2009
89, Bursa ,, 04/07/2009 ,   Yes ,Divorce Suggestion,,Husband,,Cutting Tool,Firearm,,Suicide ,2009
90, Bursa , Adult , 04/08/2009 ,   No ,Controversy,,Husband,,Cutting Tool,,,Prisoner ,2009
91, Diyarbakir , Adult , 05/10/2009 ,   No ,Undetectable,,Husband,,Undetectable,,,Undetectable,2009
92, Diyarbakir , Adult , 06/02/2009 ,   No ,Controversy,,Boyfriend,,Firearm,,,Prisoner ,2009
93, Duzce ,, 06/04/2009 ,   No ,Undetectable,,Undetectable,,Assault,,,Investigation Continues ,2009
94, Elazig ,, 06/07/2009 ,   No ,By Accident,,Someone She Does Not Know,,Firearm,,,Prisoner ,2009
95, Elazig , Underage, 06/08/2009 ,   Yes ,Be rejected,,Someone She Knows,,Firearm,,,,2009
96, Erzurum , Adult , 06/11/2009 ,   No ,Be rejected,,Husband,,Firearm,,,Prisoner ,2009
97, Erzurum , Adult , 06/11/2009 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Undetectable ,2009
98, Hakkari , Adult , 07/11/2009 ,   No ,Undetectable,,Undetectable,,Firearm,,,Undetectable ,2009
99, Istanbul , Adult , 08/09/2009 ,   No ,Threatening,,Husband,,Falling From High,,,Prisoner ,2009
100, Istanbul , Adult , 08/10/2009 ,   No ,Undetectable,,Husband,,Undetectable,,,Suicide ,2009
101, Istanbul ,, 09/07/2009 ,   No ,Undetectable,,Boyfriend,,Firearm,Assault,,Prisoner ,2009
102, Istanbul ,, 09/08/2009 ,   No ,Undetectable,,Someone She Knows,,Assault,Asphyxiate,,Prisoner ,2009
103, Istanbul ,, 09/10/2009 ,   No ,Controversy,,Boyfriend,,Assault,,,Prisoner ,2009
104, Istanbul ,, 09/12/2009 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Undetectable ,2009
105, Istanbul ,, 10/11/2009 ,   No ,By Accident,,Husband,,Firearm,,,Prisoner ,2009
106, Istanbul , Adult , 10/12/2009 ,   No ,Jealousy,,Husband,,Cutting Tool,,,Prisoner ,2009
107, Izmir , Adult , 11/02/2009 ,   No ,Undetectable,,Someone She Knows,,Firearm,,,Wanted ,2009
108, Izmir ,, 11/03/2009 ,   No ,Undetectable,,Undetectable,,Burning,,,Undetectable ,2009
109, Izmir ,, 11/05/2009 ,   No ,Undetectable,,Undetectable,,Asphyxiate,,,Undetectable,2009
110, Izmir ,, 11/06/2009 ,   No ,Undetectable,,Undetectable,,Cutting Tool,,,Undetectable ,2009
111, Izmir , Adult , 11/12/2009 ,   No ,Animosity,,Relative,,Firearm,,,Prisoner ,2009
112, Izmir , Adult , 12/01/2009 ,   No ,Undetectable,,Someone She Knows,,Undetectable,,,Prisoner ,2009
113, Kahramanmaras , Adult , 12/03/2009 ,   No ,Controversy,,Son,,Firearm,,,Prisoner ,2009
114, Kahramanmaras ,, 12/03/2009 ,   No ,Controversy,,Brother,,Firearm,,,Suicide ,2009
115,Antalya,, 12/10/2009 ,   No ,Undetectable,,Someone She Knows,,Cutting Tool,,,Prisoner ,2009
116, Kastomonu , Adult , 12/11/2009 ,   No ,Money,,Someone She Does Not Know,,Firearm,,,Prisoner ,2009
117, Kastomonu , Adult , 12/11/2009 ,   No ,Controversy,,Boyfriend,,Cutting Tool,,,Prisoner ,2009
118, Kayseri ,, 13/01/2009 ,   No ,Controversy,,Husband,,Cutting Tool,,,Suicide ,2009
119, Kilis , Adult , 13/02/2009 ,   Undetectable ,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues ,2009
120, Kirikkale , Adult , 13/02/2009 ,   No ,Undetectable,,Undetectable,,Firearm,,,Investigation Continues ,2009
121, Kirsehir , Adult , 13/05/2009 ,   No ,Undetectable,,Husband,,Cutting Tool,,,Prisoner ,2009
122, Kocaeli , Adult , 13/07/2009 ,   No ,Jealousy,,Husband,,Assault,Asphyxiate,,Prisoner ,2009
123, Malatya , Adult , 14/09/2009 ,   No ,While Protecting Her Daughter,,Groom,,Firearm,,,Prisoner ,2009
124, Mardin , Adult , 15/02/2009 ,   Undetectable ,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues ,2009
125, Mersin ,, 15/07/2009 ,   No ,Controversy,,Brother-in-law,,Cutting Tool,,,Escape ,2009
126, Mersin , Adult , 15/09/2009 ,   No ,Undetectable,,Brother,,Firearm,,,Prisoner ,2009
127, Mugla ,, 15/10/2009 ,   Undetectable,Undetectable,,Undetectable,,Undetectable,,,Undetectable ,2009
128, Nigde , Adult , 16/02/2009 ,   No ,Divorce Suggestion,,Husband,,Firearm,,,Wanted ,2009
129,Mardin, Adult , 16/02/2009 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues ,2009
130, Osmaniye , Adult , 16/05/2009 ,   No ,Controversy,,Husband,,Firearm,,,Prisoner ,2009
131, Samsun ,, 16/11/2009 ,   No ,Undetectable,,Undetectable,,Asphyxiate,,,Undetectable,2009
132, Sanliurfa , Adult , 17/01/2009 ,   No ,Animosity,,Relative,,Firearm,,,Prisoner ,2009
133, Tekirdag , Adult , 17/08/2009 ,   No ,Controversy,,Husband,,Asphyxiate,,,Prisoner ,2009
134, Tokat , Adult , 17/10/2009 ,   No ,Undetectable,,Undetectable,,Undetectable,,,Investigation Continues ,2009
135, Zonguldak ,, 18/05/2009 ,   No ,Controversy,,Ex Husband,,Firearm,,,Prisoner ,2009
136,,, 19/07/2009 ,   No ,Undetectable,,Undetectable,,Firearm,,,,2009
137,,, 19/07/2009 ,   No ,Undetectable,,Ex Husband,,Cutting Tool,,,,2009
138,,, 19/11/2009 ,   Yes,Undetectable,,Ex Boyfriend,,Firearm,,,,2009
139,,, 19/12/2009 ,   No ,Undetectable,,Husband,,Asphyxiate,,,,2009
140,,, 19/12/2009 ,   No ,Controversy,,Husband,,Firearm,,,,2009
141,,, 20/01/2009 ,   Undetectable ,Crisis and Unemployment,,Husband,,Firearm,,,,2009
142,,, 20/03/2009 ,   Yes ,Be rejected,,Someone She Knows,,Firearm,,,,2009
143,,, 20/03/2009 ,   No ,Undetectable,,Fiancee,,Firearm,,,,2009
144,,, 20/04/2009 ,   No ,Undetectable,,Grandson,,Undetectable,,,,2009
145,,, 20/05/2009 ,   No ,Because something that a man wanted did not happen,,Father,,Asphyxiate,,,,2009
146,,, 20/07/2009 ,   No ,Be rejected,,Boyfriend,,Cutting Tool,,,,2009
147,,, 21/05/2009 ,   No ,Controversy,,Brother,,Cutting Tool,,,,2009
148,,, 21/10/2009 ,   No ,Controversy,,Boyfriend,,Firearm,,,,2009
149,,, 21/10/2009 ,   No ,Undetectable,,Someone She Knows,,Cutting Tool,,,,2009
150,,, 22/02/2009 ,   No ,Controversy,,Husband,,Cutting Tool,,,,2009
151,,, 22/05/2009 ,   No ,Undetectable,,Boyfriend,,Falling From High,,,,2009
152,,, 22/12/2009 ,   No ,Undetectable,,Someone She Knows,,Firearm,,,,2009
153,,, 22/12/2009 ,   No ,Controversy,,Husband,,Cutting Tool,,,,2009
