id,city,age,date,protectionorder,why1,why2,killer1,killer2,killingway1,killingway2,killingway3,statusofkiller,year
1, Adana , Resit,01/02/2008,   Tespit Edilemeyen  ,Erkegin istedigi bir seyin gerceklesmemesi sebebiyle,,Kocasi,,Atesli Silah,,,,2008
2, Adana ,,01/12/2008,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Intihar ,2008
3, Adana , Resit Degil , 01/02/2008 ,   Yok ,Tespit Edilemeyen,,Babasi,,Darp,,, Tutuklu ,2008
4, Adana ,, 01/04/2008 ,   Yok ,Tespit Edilemeyen,,Eski Sevgilisi,,Atesli Silah,,, Intihar ,2008
5, Ankara ,, 01/12/2008 ,   Tespit Edilemeyen ,Tespit Edilemeyen,,Tespit Edilemeyen,,Tespit Edilemeyen,,, Tespit Edilemeyen,2008
6, Ankara , Resit Degil  , 02/03/2008 ,   Yok ,Namus,,Babasi,,Atesli Silah,,, Tutuklu ,2008
7, Antalya , Resit, 03/02/2008 ,   Tespit Edilemeyen ,Kiskanclik,,Kocasi,,Kesici Alet,,,Tespit Edilemeyen,2008
8, Balikesir , Resit Degil , 03/11/2008 ,   Yok ,Reddedilme,,Annesinin Eski Sevgilisi,,Atesli Silah,,, Tutuklu ,2008
9, Batman ,, 04/02/2008 ,   Yok ,Tespit Edilemeyen,,Sevgilisi,,Atesli Silah,,, Intihar ,2008
10, Batman ,, 04/02/2008 ,   Yok ,Arkadaslariyla Mesajlasma,,Abisi,,Darp,Elektrik Verme,, Tutuklu ,2008
11, Bingol , Resit , 04/03/2008 ,   Yok ,Tartisma,,Kocasi,,Atesli Silah,,, Tutuklu ,2008
12, Bursa ,, 04/09/2008 ,   Yok ,Ayrilik Talebi,,Kocasi,,Kesici Alet,,, Tutuklu ,2008
13, Bursa , Resit , 05/02/2008 ,   Yok ,Tespit Edilemeyen,,Damadi,,Bogulma,Darp,, Tutuklu ,2008
14, Bursa ,, 05/02/2008 ,   Yok ,Tartisma,,Kocasi,,Kesici Alet,,, Intihar ,2008
15, Diyarbakir , Resit , 05/11/2008 ,   Yok ,Tartisma,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2008
16, Diyarbakir , Resit , 06/01/2008 ,   Yok ,Tespit Edilemeyen,,Tespit Edilemeyen,,Atesli Silah,,, Sorusturma Suruyor ,2008
17, Eskisehir , Resit , 07/01/2008 ,   Yok ,Husumet,,Tanidigi Birisi,,Atesli Silah,,, Tutuklu ,2008
18, Gaziantep ,, 07/03/2008 ,   Yok ,Tespit Edilemeyen,,Kuzeni,,Atesli Silah,,, Araniyor ,2008
19, Gaziantep , Resit, 07/05/2008 ,   Yok ,Tespit Edilemeyen,,Kocasi,,Atesli Silah,,,Tespit Edilemeyen,2008
